id,predicted_positions
0,"[5, 7, 10, 12]"
1,"[3, 6, 7, 10]"
2,"[4, 12, 13, 20, 21]"
3,"[5, 10, 18]"
4,"[2, 5, 10]"
5,"[6, 7, 13]"
6,"[5, 14]"
7,"[3, 12, 15]"
8,"[6, 13]"
9,"[5, 12]"
10,"[3, 11, 12]"
11,"[5, 18]"
12,"[6, 12]"
13,"[5, 11]"
14,"[3, 13, 15]"
15,"[4, 9, 11, 21]"
16,[10]
17,"[3, 10, 12, 19]"
18,"[5, 9, 17]"
19,"[5, 9]"
20,"[3, 13, 15]"
21,"[4, 11]"
22,"[5, 6, 11]"
23,"[3, 9]"
24,"[5, 12, 18]"
25,"[5, 16, 17]"
26,"[3, 10, 11, 17]"
27,"[6, 11, 15]"
28,"[5, 15, 21]"
29,"[1, 10, 16]"
30,"[5, 11]"
31,"[5, 14]"
32,"[3, 8]"
33,"[4, 12, 13, 19]"
34,"[5, 16]"
35,"[3, 8]"
36,"[5, 12, 20]"
37,[]
38,"[3, 13, 15]"
39,"[4, 11, 14]"
40,"[5, 14, 17]"
41,"[3, 11]"
42,"[5, 10]"
43,"[5, 11]"
44,"[3, 9]"
45,"[4, 12]"
46,"[5, 14]"
47,"[3, 9, 16, 17]"
48,"[5, 10]"
49,"[5, 11]"
50,"[3, 9, 11]"
51,"[6, 10]"
52,"[5, 12]"
53,"[3, 10, 12]"
54,"[5, 9]"
55,"[5, 7, 10, 12]"
56,"[1, 10, 13]"
57,"[4, 8, 10]"
58,"[5, 15, 21]"
59,"[3, 10, 21]"
60,"[5, 12]"
61,[5]
62,"[3, 10, 22]"
63,"[4, 12, 15]"
64,"[5, 16]"
65,"[3, 9]"
66,"[5, 15, 21]"
67,"[5, 14]"
68,"[3, 13, 15]"
69,"[4, 11, 12]"
70,"[5, 12]"
71,"[3, 9]"
72,"[5, 9]"
73,[9]
74,"[3, 11, 23]"
75,"[4, 9]"
76,"[5, 14]"
77,"[3, 8]"
78,"[5, 12]"
79,"[5, 18]"
80,"[3, 10, 13]"
81,"[6, 12]"
82,"[5, 16, 17]"
83,"[3, 9, 17]"
84,"[5, 11]"
85,"[5, 12]"
86,"[3, 10, 13]"
87,"[4, 12]"
88,"[5, 14]"
89,"[3, 10, 12]"
90,[5]
91,"[5, 10]"
92,"[3, 10, 12]"
93,"[4, 12]"
94,"[5, 14]"
95,"[3, 9, 11]"
96,"[5, 18]"
97,"[3, 9, 11]"
98,"[5, 12]"
99,"[6, 11, 22, 23]"
100,"[3, 8, 14, 25]"
101,"[5, 13, 15, 22]"
102,"[5, 11, 14, 19, 20]"
103,"[3, 14, 16, 25]"
104,"[4, 12, 18]"
105,"[5, 12, 20]"
106,"[3, 9, 12, 24, 29, 30]"
107,"[5, 14, 22, 30]"
108,"[5, 10, 15, 16]"
109,"[3, 10, 12, 19, 20]"
110,"[4, 10, 17]"
111,"[5, 12, 22, 25]"
112,"[3, 9, 10, 15]"
113,"[5, 13, 19, 26]"
114,"[6, 20]"
115,"[3, 12, 17, 24]"
